booking,name,service_class,preference,requested_seat,group_id
BR14037,Mikhail Kang,ECONOMY,TOGETHER,,G4
BR14038,Mikhail Miller,ECONOMY,TOGETHER,,G4
BR14039,Ivan Volkov,ECONOMY,MIDDLE,15C,
BR14040,Stepan Lee,BUSINESS,ANY,,
BR14041,Daria Kang,BUSINESS,WINDOW,,
BR14042,Vera Park,ECONOMY,MIDDLE,44F,
BR14043,Anna Wilson,ECONOMY,TOGETHER,,
BR14044,Yulia Petrova,ECONOMY,ANY,,
BR14045,Irina Wilson,BUSINESS,TOGETHER,,G5
BR14046,Alexey Petrov,ECONOMY,TOGETHER,,G5
BR14047,Timur Ivanov,ECONOMY,WINDOW,11H,
BR14048,Olga Lee,ECONOMY,ANY,,
BR14049,Denis Lee,BUSINESS,AISLE,22J,
BR14050,Sergey Petrov,BUSINESS,ANY,36A,
BR14051,Ivan Sokolov,ECONOMY,MIDDLE,21B,
BR14052,Maria Kang,ECONOMY,MIDDLE,38A,
BR14053,Yulia Lee,ECONOMY,MIDDLE,29H,
BR14054,Pavel Lee,BUSINESS,TOGETHER,,G6
BR14055,Vera Wilson,BUSINESS,TOGETHER,,G6
BR14056,Yulia Lee,ECONOMY,TOGETHER,,G6
BR14057,Polina Miller,ECONOMY,AISLE,,
BR14058,Anna Volkova,ECONOMY,AISLE,43H,
BR14059,Kira Kim,ECONOMY,ANY,,
BR14060,Irina Wilson,ECONOMY,WINDOW,,
BR14061,Polina Kim,ECONOMY,TOGETHER,,
BR14062,Roman Miller,ECONOMY,AISLE,,
BR14063,Anna Park,ECONOMY,TOGETHER,,G7
BR14064,Irina Ivanova,ECONOMY,TOGETHER,,G7
BR14065,Alexey Park,BUSINESS,WINDOW,25A,
BR14066,Daria Kim,ECONOMY,ANY,5K,
BR14067,Denis Orlov,ECONOMY,MIDDLE,38H,
BR14068,Elena Park,ECONOMY,TOGETHER,,
BR14069,Elena Miller,ECONOMY,ANY,23G,
BR14070,Anna Kang,ECONOMY,MIDDLE,26H,
BR14071,Daria Wilson,ECONOMY,MIDDLE,,
BR14072,Ivan Park,ECONOMY,TOGETHER,,G8
BR14073,Denis Orlov,BUSINESS,TOGETHER,,G8
BR14074,Vera Kang,ECONOMY,TOGETHER,,G8
BR14075,Sergey Sokolov,ECONOMY,TOGETHER,,
BR14076,Timur Sokolov,ECONOMY,WINDOW,,
BR14077,Alina Kang,ECONOMY,ANY,43K,
BR14078,Polina Kang,ECONOMY,ANY,21J,
BR14079,Oleg Kim,ECONOMY,MIDDLE,,
BR14080,Mikhail Popov,ECONOMY,TOGETHER,,
BR14081,Denis Sokolov,ECONOMY,TOGETHER,,G9
BR14082,Irina Miller,BUSINESS,TOGETHER,,G9
BR14083,Ivan Sokolov,ECONOMY,AISLE,16C,
BR14084,Stepan Sokolov,ECONOMY,WINDOW,,
BR14085,Sergey Sokolov,ECONOMY,AISLE,4F,
BR14086,Pavel Orlov,ECONOMY,ANY,37D,
BR14087,Oleg Miller,ECONOMY,TOGETHER,,
BR14088,Stepan Lee,BUSINESS,ANY,,
BR14089,Kira Kim,ECONOMY,WINDOW,,
BR14090,Roman Orlov,ECONOMY,TOGETHER,,G10
BR14091,Stepan Orlov,ECONOMY,TOGETHER,,G10
BR14092,Pavel Orlov,ECONOMY,TOGETHER,,G10
BR14093,Olga Popova,BUSINESS,WINDOW,,
BR14094,Roman Volkov,ECONOMY,ANY,,
BR14095,Nikita Popov,ECONOMY,MIDDLE,37J,
BR14096,Alexey Miller,ECONOMY,WINDOW,,
BR14097,Maria Kang,ECONOMY,WINDOW,,
BR14098,Denis Wilson,BUSINESS,WINDOW,,
BR14099,Nikita Lee,ECONOMY,TOGETHER,,G11
BR14100,Kira Orlova,BUSINESS,TOGETHER,,G11
BR14101,Oleg Volkov,ECONOMY,ANY,37A,
BR14102,Daria Petrova,ECONOMY,TOGETHER,,
BR14103,Elena Volkova,ECONOMY,WINDOW,,
BR14104,Sergey Kang,ECONOMY,AISLE,,
BR14105,Pavel Popov,ECONOMY,MIDDLE,27E,
BR14106,Ivan Kang,ECONOMY,AISLE,,
BR14107,Elena Sokolova,ECONOMY,ANY,18D,
BR14108,Irina Kang,ECONOMY,TOGETHER,,G12
BR14109,Anna Petrova,ECONOMY,TOGETHER,,G12
BR14110,Denis Wilson,ECONOMY,TOGETHER,,G12
BR14111,Kira Sokolova,ECONOMY,WINDOW,27A,
BR14112,Sergey Kim,BUSINESS,WINDOW,21J,
BR14113,Kira Volkova,ECONOMY,WINDOW,,
BR14114,Kirill Kang,ECONOMY,WINDOW,39D,
BR14115,Anna Petrova,ECONOMY,ANY,,
BR14116,Kirill Ivanov,ECONOMY,MIDDLE,,
BR14117,Olga Miller,ECONOMY,TOGETHER,,G13
BR14118,Stepan Park,ECONOMY,TOGETHER,,G13
BR14119,Denis Sokolov,ECONOMY,TOGETHER,,
BR14120,Roman Wilson,ECONOMY,ANY,32E,
BR14121,Roman Ivanov,ECONOMY,AISLE,,
BR14122,Kira Volkova,ECONOMY,MIDDLE,,
BR14123,Anna Ivanova,ECONOMY,AISLE,,
BR14124,Sofia Popova,ECONOMY,MIDDLE,42E,
BR14125,Maria Wilson,ECONOMY,WINDOW,40A,
BR14126,Pavel Lee,ECONOMY,TOGETHER,,G14
BR14127,Elena Wilson,BUSINESS,TOGETHER,,G14
BR14128,Vera Ivanova,ECONOMY,TOGETHER,,G14
BR14129,Sergey Sokolov,ECONOMY,MIDDLE,,
BR14130,Alexey Popov,ECONOMY,AISLE,,
BR14131,Olga Wilson,ECONOMY,WINDOW,,
BR14132,Daria Sokolova,ECONOMY,WINDOW,,
BR14133,Roman Lee,ECONOMY,TOGETHER,,
BR14134,Pavel Lee,ECONOMY,AISLE,28B,
BR14135,Sofia Petrova,BUSINESS,TOGETHER,,G15
BR14136,Anna Volkova,ECONOMY,TOGETHER,,G15
BR14137,Roman Ivanov,BUSINESS,TOGETHER,,
BR14138,Yulia Miller,ECONOMY,WINDOW,20K,
BR14139,Sofia Miller,ECONOMY,TOGETHER,,
BR14140,Nikita Kim,ECONOMY,MIDDLE,,
BR14141,Kira Orlova,ECONOMY,MIDDLE,37J,
BR14142,Stepan Miller,ECONOMY,ANY,,
BR14143,Kirill Ivanov,ECONOMY,ANY,25D,
BR14144,Nikita Petrov,ECONOMY,TOGETHER,,G16
BR14145,Stepan Ivanov,ECONOMY,TOGETHER,,G16
BR14146,Irina Popova,BUSINESS,TOGETHER,,G16
BR14147,Sofia Kang,BUSINESS,MIDDLE,,
BR14148,Yulia Petrova,BUSINESS,MIDDLE,,
BR14149,Mikhail Kim,ECONOMY,AISLE,13B,
BR14150,Irina Kim,ECONOMY,AISLE,,
BR14151,Irina Kang,BUSINESS,WINDOW,,
BR14152,Alina Kang,ECONOMY,ANY,8J,
BR14153,Vera Petrova,BUSINESS,TOGETHER,,G17
BR14154,Elena Sokolova,ECONOMY,TOGETHER,,G17
BR14155,Polina Petrova,ECONOMY,WINDOW,,
BR14156,Elena Ivanova,ECONOMY,TOGETHER,,
BR14157,Olga Popova,ECONOMY,TOGETHER,,
BR14158,Kira Sokolova,ECONOMY,WINDOW,16H,
BR14159,Alina Sokolova,BUSINESS,AISLE,15B,
BR14160,Roman Petrov,ECONOMY,TOGETHER,,
BR14161,Denis Sokolov,ECONOMY,MIDDLE,6B,
BR14162,Olga Miller,ECONOMY,TOGETHER,,G18
BR14163,Denis Park,ECONOMY,TOGETHER,,G18
BR14164,Polina Kang,ECONOMY,TOGETHER,,G18
BR14165,Sergey Ivanov,ECONOMY,TOGETHER,,
BR14166,Kirill Wilson,BUSINESS,TOGETHER,,
BR14167,Sergey Popov,ECONOMY,MIDDLE,21B,
BR14168,Oleg Orlov,ECONOMY,TOGETHER,,
BR14169,Denis Wilson,ECONOMY,AISLE,,
BR14170,Oleg Ivanov,ECONOMY,WINDOW,,
BR14171,Sergey Petrov,ECONOMY,TOGETHER,,G19
BR14172,Oleg Park,BUSINESS,TOGETHER,,G19
BR14173,Kirill Park,ECONOMY,AISLE,18G,
BR14174,Nikita Petrov,ECONOMY,AISLE,,
BR14175,Sofia Park,ECONOMY,AISLE,14C,
BR14176,Yulia Park,ECONOMY,ANY,32B,
BR14177,Roman Ivanov,ECONOMY,AISLE,33C,
BR14178,Maria Orlova,ECONOMY,ANY,17K,
BR14179,Pavel Miller,ECONOMY,ANY,,
BR14180,Elena Miller,ECONOMY,TOGETHER,,G20
BR14181,Maria Miller,ECONOMY,TOGETHER,,G20
BR14182,Stepan Volkov,ECONOMY,TOGETHER,,G20
BR14183,Denis Ivanov,ECONOMY,ANY,22D,
BR14184,Nikita Kim,ECONOMY,AISLE,,
BR14185,Sofia Lee,ECONOMY,AISLE,9J,
BR14186,Ivan Kim,ECONOMY,ANY,32K,
BR14187,Olga Sokolova,ECONOMY,WINDOW,,
BR14188,Yulia Miller,ECONOMY,WINDOW,,
BR14189,Elena Lee,ECONOMY,TOGETHER,,G21
BR14190,Maria Kang,ECONOMY,TOGETHER,,G21
BR14191,Nikita Ivanov,ECONOMY,WINDOW,2D,
BR14192,Roman Kim,ECONOMY,WINDOW,,
BR14193,Sofia Volkova,ECONOMY,ANY,,
BR14194,Vera Ivanova,BUSINESS,WINDOW,,
BR14195,Polina Sokolova,ECONOMY,AISLE,35D,
BR14196,Yulia Popova,ECONOMY,ANY,32G,
BR14197,Elena Sokolova,ECONOMY,MIDDLE,,
BR14198,Olga Lee,ECONOMY,TOGETHER,,G22
BR14199,Olga Miller,ECONOMY,TOGETHER,,G22
BR14200,Oleg Ivanov,ECONOMY,TOGETHER,,G22
BR14201,Maria Petrova,BUSINESS,WINDOW,4A,
BR14202,Elena Sokolova,ECONOMY,WINDOW,11J,
BR14203,Oleg Volkov,ECONOMY,ANY,17K,
BR14204,Maria Volkova,ECONOMY,WINDOW,,
BR14205,Timur Kang,BUSINESS,ANY,,
BR14206,Mikhail Volkov,ECONOMY,WINDOW,13G,
BR14207,Anna Kim,BUSINESS,TOGETHER,,G23
BR14208,Stepan Miller,ECONOMY,TOGETHER,,G23
BR14209,Mikhail Sokolov,ECONOMY,MIDDLE,,
BR14210,Sergey Petrov,BUSINESS,AISLE,14E,
BR14211,Olga Sokolova,BUSINESS,ANY,29G,
BR14212,Denis Miller,ECONOMY,WINDOW,37E,
BR14213,Daria Volkova,ECONOMY,ANY,,
BR14214,Alina Petrova,ECONOMY,AISLE,,
BR14215,Anna Volkova,ECONOMY,AISLE,40H,
BR14216,Olga Petrova,ECONOMY,TOGETHER,,G24
BR14217,Elena Kim,ECONOMY,TOGETHER,,G24
BR14218,Oleg Sokolov,ECONOMY,TOGETHER,,G24
BR14219,Oleg Sokolov,ECONOMY,ANY,25E,
BR14220,Olga Wilson,ECONOMY,AISLE,14H,
BR14221,Elena Kang,ECONOMY,ANY,44A,
BR14222,Maria Petrova,ECONOMY,MIDDLE,6C,
BR14223,Roman Orlov,ECONOMY,ANY,,
BR14224,Alexey Lee,ECONOMY,TOGETHER,,
BR14225,Alina Kang,ECONOMY,TOGETHER,,G25
BR14226,Oleg Kang,ECONOMY,TOGETHER,,G25
BR14227,Kirill Miller,BUSINESS,MIDDLE,6F,
BR14228,Polina Orlova,ECONOMY,TOGETHER,,
BR14229,Mikhail Kang,ECONOMY,MIDDLE,18E,
BR14230,Yulia Sokolova,ECONOMY,MIDDLE,,
BR14231,Alexey Kang,ECONOMY,MIDDLE,,
BR14232,Sergey Petrov,ECONOMY,WINDOW,,
BR14233,Ivan Sokolov,ECONOMY,ANY,38G,
BR14234,Ivan Popov,ECONOMY,TOGETHER,,G26
BR14235,Mikhail Wilson,ECONOMY,TOGETHER,,G26
BR14236,Polina Miller,ECONOMY,TOGETHER,,G26
BR14237,Yulia Popova,ECONOMY,AISLE,,
BR14238,Kirill Kim,BUSINESS,WINDOW,31D,
BR14239,Stepan Kang,ECONOMY,AISLE,,
BR14240,Alexey Miller,ECONOMY,AISLE,,
BR14241,Ivan Sokolov,ECONOMY,MIDDLE,,
BR14242,Sergey Park,ECONOMY,MIDDLE,30C,
BR14243,Pavel Kim,BUSINESS,TOGETHER,,G27
BR14244,Timur Wilson,ECONOMY,TOGETHER,,G27
BR14245,Maria Orlova,ECONOMY,MIDDLE,33D,
BR14246,Maria Miller,ECONOMY,MIDDLE,,
BR14247,Stepan Kang,ECONOMY,AISLE,,
BR14248,Irina Kim,ECONOMY,WINDOW,,
BR14249,Vera Kang,ECONOMY,TOGETHER,,
BR14250,Kirill Park,BUSINESS,ANY,,
BR14251,Daria Kang,ECONOMY,WINDOW,42F,
BR14252,Kirill Wilson,ECONOMY,TOGETHER,,G28
BR14253,Ivan Lee,BUSINESS,TOGETHER,,G28
BR14254,Roman Park,ECONOMY,TOGETHER,,G28
BR14255,Timur Orlov,ECONOMY,AISLE,,
BR14256,Timur Volkov,ECONOMY,WINDOW,31D,
BR14257,Elena Volkova,ECONOMY,TOGETHER,,
BR14258,Daria Miller,BUSINESS,ANY,,
BR14259,Denis Ivanov,ECONOMY,AISLE,,
BR14260,Irina Park,ECONOMY,TOGETHER,,
BR14261,Denis Volkov,ECONOMY,TOGETHER,,G29
BR14262,Polina Park,ECONOMY,TOGETHER,,G29
BR14263,Timur Park,ECONOMY,AISLE,,
BR14264,Sofia Ivanova,ECONOMY,WINDOW,,
BR14265,Yulia Kang,ECONOMY,ANY,43F,
BR14266,Oleg Sokolov,ECONOMY,ANY,23F,
BR14267,Sofia Miller,ECONOMY,AISLE,19E,
BR14268,Sofia Popova,ECONOMY,ANY,,
BR14269,Alina Volkova,ECONOMY,TOGETHER,,
BR14270,Sofia Volkova,ECONOMY,TOGETHER,,G30
BR14271,Timur Sokolov,BUSINESS,TOGETHER,,G30
BR14272,Roman Ivanov,ECONOMY,TOGETHER,,G30
BR14273,Olga Ivanova,ECONOMY,WINDOW,,
BR14274,Kirill Kang,ECONOMY,MIDDLE,,
BR14275,Kira Miller,ECONOMY,ANY,,
BR14276,Mikhail Kim,ECONOMY,WINDOW,5E,
BR14277,Kira Volkova,ECONOMY,WINDOW,,
BR14278,Denis Park,ECONOMY,MIDDLE,,
BR14279,Vera Popova,ECONOMY,TOGETHER,,G31
BR14280,Irina Popova,ECONOMY,TOGETHER,,G31
BR14281,Sergey Popov,ECONOMY,WINDOW,,
BR14282,Timur Kang,ECONOMY,ANY,38E,
BR14283,Daria Park,ECONOMY,WINDOW,17E,
BR14284,Anna Kang,BUSINESS,WINDOW,,
BR14285,Elena Wilson,ECONOMY,MIDDLE,,
BR14286,Timur Petrov,ECONOMY,MIDDLE,,
BR14287,Sofia Sokolova,ECONOMY,ANY,,
BR14288,Anna Lee,BUSINESS,TOGETHER,,G32
BR14289,Pavel Kim,ECONOMY,TOGETHER,,G32
BR14290,Vera Orlova,ECONOMY,TOGETHER,,G32
BR14291,Alina Popova,BUSINESS,WINDOW,,
BR14292,Mikhail Wilson,ECONOMY,MIDDLE,,
BR14293,Polina Volkova,ECONOMY,AISLE,,
BR14294,Pavel Sokolov,ECONOMY,WINDOW,,
BR14295,Elena Wilson,ECONOMY,WINDOW,12K,
BR14296,Vera Popova,ECONOMY,MIDDLE,26F,
BR14297,Stepan Lee,ECONOMY,TOGETHER,,G33
BR14298,Vera Kang,ECONOMY,TOGETHER,,G33
BR14299,Oleg Popov,ECONOMY,WINDOW,18D,
BR14300,Yulia Wilson,ECONOMY,AISLE,,
BR14301,Daria Kim,BUSINESS,WINDOW,29B,
BR14302,Sergey Kang,ECONOMY,TOGETHER,,
BR14303,Vera Petrova,BUSINESS,WINDOW,22D,
BR14304,Kirill Kang,ECONOMY,TOGETHER,,
BR14305,Anna Volkova,BUSINESS,ANY,,
BR14306,Sergey Popov,ECONOMY,TOGETHER,,G34
BR14307,Olga Kim,ECONOMY,TOGETHER,,G34
BR14308,Sergey Wilson,ECONOMY,TOGETHER,,G34
BR14309,Roman Miller,ECONOMY,TOGETHER,,
BR14310,Alina Popova,BUSINESS,MIDDLE,,
BR14311,Sofia Lee,BUSINESS,TOGETHER,,
BR14312,Daria Ivanova,ECONOMY,ANY,,
BR14313,Vera Kim,ECONOMY,AISLE,,
BR14314,Oleg Volkov,ECONOMY,MIDDLE,,
BR14315,Maria Petrova,ECONOMY,TOGETHER,,G35
BR14316,Kira Wilson,ECONOMY,TOGETHER,,G35
BR14317,Alexey Sokolov,ECONOMY,WINDOW,,
BR14318,Nikita Park,ECONOMY,TOGETHER,,
BR14319,Kira Kang,ECONOMY,TOGETHER,,
BR14320,Maria Ivanova,ECONOMY,WINDOW,43B,
BR14321,Elena Kang,BUSINESS,WINDOW,,
BR14322,Irina Kang,ECONOMY,AISLE,27C,
BR14323,Sofia Volkova,BUSINESS,AISLE,24C,
BR14324,Elena Ivanova,ECONOMY,TOGETHER,,G36
BR14325,Vera Orlova,ECONOMY,TOGETHER,,G36
BR14326,Daria Popova,ECONOMY,TOGETHER,,G36
BR14327,Stepan Miller,ECONOMY,MIDDLE,,
BR14328,Stepan Volkov,ECONOMY,WINDOW,14C,
BR14329,Alina Kang,ECONOMY,AISLE,,
BR14330,Mikhail Popov,ECONOMY,WINDOW,14C,
BR14331,Yulia Ivanova,ECONOMY,ANY,8D,
BR14332,Kirill Ivanov,BUSINESS,TOGETHER,,
BR14333,Denis Sokolov,ECONOMY,TOGETHER,,G37
BR14334,Olga Petrova,ECONOMY,TOGETHER,,G37
BR14335,Stepan Miller,BUSINESS,AISLE,,
BR14336,Kirill Volkov,ECONOMY,AISLE,22K,
BR14337,Pavel Ivanov,ECONOMY,WINDOW,38C,
BR14338,Oleg Wilson,ECONOMY,MIDDLE,39G,
BR14339,Denis Volkov,ECONOMY,AISLE,11E,
BR14340,Daria Lee,ECONOMY,ANY,32G,
BR14341,Roman Orlov,ECONOMY,MIDDLE,2H,
BR14342,Olga Miller,ECONOMY,TOGETHER,,G38
BR14343,Sergey Miller,ECONOMY,TOGETHER,,G38
BR14344,Elena Kang,ECONOMY,TOGETHER,,G38
BR14345,Yulia Lee,BUSINESS,WINDOW,20E,
BR14346,Denis Ivanov,BUSINESS,ANY,35H,
BR14347,Mikhail Wilson,BUSINESS,AISLE,,
BR14348,Anna Ivanova,ECONOMY,AISLE,,
BR14349,Mikhail Kim,ECONOMY,ANY,5D,
BR14350,Alexey Popov,ECONOMY,MIDDLE,,
BR14351,Vera Petrova,ECONOMY,TOGETHER,,G39
BR14352,Kirill Lee,ECONOMY,TOGETHER,,G39
BR14353,Denis Lee,ECONOMY,TOGETHER,,
BR14354,Pavel Kang,ECONOMY,ANY,18E,
BR14355,Oleg Kim,ECONOMY,TOGETHER,,
BR14356,Ivan Miller,BUSINESS,MIDDLE,,
BR14357,Yulia Wilson,ECONOMY,WINDOW,35C,
BR14358,Timur Kang,ECONOMY,TOGETHER,,
BR14359,Stepan Miller,ECONOMY,TOGETHER,,
BR14360,Ivan Ivanov,ECONOMY,TOGETHER,,G40
BR14361,Daria Sokolova,ECONOMY,TOGETHER,,G40
BR14362,Pavel Popov,ECONOMY,TOGETHER,,G40
BR14363,Irina Wilson,BUSINESS,ANY,31D,
BR14364,Sofia Miller,BUSINESS,AISLE,26A,
BR14365,Daria Park,ECONOMY,WINDOW,,
BR14366,Roman Sokolov,ECONOMY,AISLE,,
BR14367,Sergey Kim,ECONOMY,WINDOW,44E,
BR14368,Sergey Volkov,ECONOMY,AISLE,23K,
BR14369,Ivan Wilson,ECONOMY,TOGETHER,,G41
BR14370,Ivan Sokolov,ECONOMY,TOGETHER,,G41
BR14371,Vera Kim,ECONOMY,MIDDLE,,
BR14372,Sofia Miller,ECONOMY,ANY,,
BR14373,Pavel Wilson,ECONOMY,MIDDLE,1A,
BR14374,Kira Volkova,ECONOMY,MIDDLE,24E,
BR14375,Yulia Park,ECONOMY,AISLE,26G,
BR14376,Yulia Orlova,ECONOMY,AISLE,,
BR14377,Polina Lee,ECONOMY,TOGETHER,,
BR14378,Timur Miller,ECONOMY,TOGETHER,,G42
BR14379,Elena Miller,ECONOMY,TOGETHER,,G42
BR14380,Alexey Miller,ECONOMY,TOGETHER,,G42
BR14381,Vera Park,ECONOMY,TOGETHER,,
BR14382,Maria Orlova,ECONOMY,ANY,36K,
BR14383,Daria Popova,ECONOMY,ANY,30C,
BR14384,Kira Park,ECONOMY,WINDOW,26J,
BR14385,Timur Miller,ECONOMY,TOGETHER,,
BR14386,Kira Orlova,ECONOMY,WINDOW,3H,
BR14387,Olga Sokolova,ECONOMY,TOGETHER,,G43
BR14388,Mikhail Wilson,ECONOMY,TOGETHER,,G43
BR14389,Irina Kim,ECONOMY,ANY,27F,
BR14390,Irina Sokolova,ECONOMY,AISLE,22G,
BR14391,Daria Ivanova,BUSINESS,MIDDLE,,
BR14392,Stepan Kang,ECONOMY,TOGETHER,,
BR14393,Sofia Park,ECONOMY,WINDOW,14H,
BR14394,Kirill Sokolov,ECONOMY,AISLE,,
BR14395,Nikita Sokolov,ECONOMY,AISLE,34D,
BR14396,Vera Kim,ECONOMY,TOGETHER,,G44
BR14397,Kirill Kang,BUSINESS,TOGETHER,,G44
BR14398,Olga Volkova,ECONOMY,TOGETHER,,G44
BR14399,Anna Lee,BUSINESS,ANY,32H,
BR14400,Yulia Petrova,BUSINESS,AISLE,20E,
BR14401,Maria Popova,ECONOMY,ANY,22K,
BR14402,Stepan Petrov,ECONOMY,WINDOW,,
BR14403,Denis Lee,ECONOMY,ANY,27K,
BR14404,Alexey Kang,ECONOMY,AISLE,,
BR14405,Denis Kim,ECONOMY,TOGETHER,,G45
BR14406,Nikita Volkov,BUSINESS,TOGETHER,,G45
BR14407,Ivan Ivanov,ECONOMY,WINDOW,,
BR14408,Sofia Sokolova,ECONOMY,TOGETHER,,
BR14409,Nikita Sokolov,ECONOMY,WINDOW,,
BR14410,Kirill Kim,ECONOMY,TOGETHER,,
BR14411,Kirill Wilson,ECONOMY,TOGETHER,,
BR14412,Oleg Popov,BUSINESS,MIDDLE,43D,
BR14413,Roman Miller,ECONOMY,TOGETHER,,
BR14414,Timur Orlov,ECONOMY,TOGETHER,,G46
BR14415,Sergey Volkov,ECONOMY,TOGETHER,,G46
BR14416,Anna Wilson,ECONOMY,TOGETHER,,G46
BR14417,Nikita Wilson,BUSINESS,TOGETHER,,
BR14418,Roman Miller,ECONOMY,TOGETHER,,
BR14419,Denis Sokolov,ECONOMY,ANY,18E,
BR14420,Stepan Lee,ECONOMY,TOGETHER,,
BR14421,Stepan Miller,ECONOMY,TOGETHER,,
BR14422,Mikhail Kang,ECONOMY,TOGETHER,,
BR14423,Sofia Miller,ECONOMY,TOGETHER,,G47
BR14424,Olga Lee,ECONOMY,TOGETHER,,G47
BR14425,Nikita Volkov,ECONOMY,WINDOW,10H,
BR14426,Kira Petrova,ECONOMY,AISLE,26B,
BR14427,Olga Wilson,ECONOMY,ANY,,
BR14428,Maria Popova,ECONOMY,AISLE,23J,
BR14429,Vera Wilson,ECONOMY,AISLE,6H,
BR14430,Stepan Kim,ECONOMY,MIDDLE,4J,
BR14431,Roman Miller,ECONOMY,TOGETHER,,
BR14432,Olga Kang,ECONOMY,TOGETHER,,G48
BR14433,Irina Miller,ECONOMY,TOGETHER,,G48
BR14434,Vera Sokolova,ECONOMY,TOGETHER,,G48
BR14435,Anna Popova,ECONOMY,MIDDLE,,
BR14436,Ivan Orlov,BUSINESS,WINDOW,,
BR14437,Olga Orlova,ECONOMY,MIDDLE,7G,
BR14438,Stepan Wilson,ECONOMY,WINDOW,,
BR14439,Sofia Lee,BUSINESS,TOGETHER,,
BR14440,Mikhail Popov,ECONOMY,MIDDLE,35B,
BR14441,Elena Kang,ECONOMY,TOGETHER,,G49
BR14442,Vera Popova,ECONOMY,TOGETHER,,G49
BR14443,Daria Wilson,BUSINESS,TOGETHER,,
BR14444,Polina Miller,ECONOMY,WINDOW,16H,
BR14445,Kira Petrova,BUSINESS,TOGETHER,,
BR14446,Stepan Orlov,ECONOMY,ANY,25A,
BR14447,Yulia Volkova,ECONOMY,MIDDLE,3A,
BR14448,Anna Wilson,BUSINESS,ANY,30C,
BR14449,Kira Miller,ECONOMY,ANY,,
BR14450,Sofia Popova,ECONOMY,TOGETHER,,G50
BR14451,Roman Wilson,ECONOMY,TOGETHER,,G50
BR14452,Vera Lee,BUSINESS,TOGETHER,,G50
BR14453,Maria Volkova,ECONOMY,WINDOW,,
BR14454,Denis Wilson,ECONOMY,TOGETHER,,
BR14455,Pavel Park,ECONOMY,ANY,,
BR14456,Sergey Volkov,ECONOMY,ANY,,
BR14457,Polina Sokolova,ECONOMY,TOGETHER,,
BR14458,Yulia Kim,ECONOMY,AISLE,17A,
BR14459,Sofia Orlova,ECONOMY,TOGETHER,,G51
BR14460,Sergey Kim,ECONOMY,TOGETHER,,G51
BR14461,Irina Kim,BUSINESS,WINDOW,16C,
BR14462,Irina Kang,ECONOMY,WINDOW,,
BR14463,Yulia Miller,BUSINESS,MIDDLE,17F,
BR14464,Kira Park,BUSINESS,ANY,31H,
BR14465,Alexey Wilson,BUSINESS,AISLE,44H,
BR14466,Olga Kang,ECONOMY,TOGETHER,,
BR14467,Timur Lee,BUSINESS,AISLE,9G,
BR14468,Kira Miller,ECONOMY,TOGETHER,,G52
BR14469,Alexey Popov,ECONOMY,TOGETHER,,G52
BR14470,Mikhail Volkov,ECONOMY,TOGETHER,,G52
BR14471,Alina Park,BUSINESS,AISLE,,
BR14472,Olga Volkova,BUSINESS,WINDOW,43K,
BR14473,Anna Miller,ECONOMY,TOGETHER,,
BR14474,Stepan Wilson,ECONOMY,TOGETHER,,
