booking,name,service_class,preference,requested_seat,group_id
BR16062,Alina Ivanova,BUSINESS,MIDDLE,,
BR16063,Sergey Orlov,ECONOMY,TOGETHER,,G7
BR16064,Sergey Sokolov,ECONOMY,TOGETHER,,G7
BR16065,Elena Volkova,ECONOMY,MIDDLE,,
BR16066,Timur Ivanov,ECONOMY,ANY,23G,
BR16067,Polina Kim,ECONOMY,WINDOW,,
BR16068,Stepan Popov,ECONOMY,TOGETHER,,
BR16069,Alina Lee,ECONOMY,MIDDLE,,
BR16070,Daria Petrova,ECONOMY,ANY,,
BR16071,Stepan Lee,BUSINESS,WINDOW,,
BR16072,Polina Wilson,BUSINESS,TOGETHER,,G8
BR16073,Alina Orlova,ECONOMY,TOGETHER,,G8
BR16074,Kira Park,ECONOMY,TOGETHER,,G8
BR16075,Anna Wilson,ECONOMY,WINDOW,,
BR16076,Kirill Wilson,BUSINESS,TOGETHER,,
BR16077,Alexey Lee,ECONOMY,TOGETHER,,
BR16078,Pavel Kim,BUSINESS,ANY,43J,
BR16079,Elena Park,ECONOMY,WINDOW,,
BR16080,Kira Park,BUSINESS,ANY,,
BR16081,Kirill Volkov,ECONOMY,TOGETHER,,G9
BR16082,Maria Kang,ECONOMY,TOGETHER,,G9
BR16083,Olga Lee,ECONOMY,AISLE,,
BR16084,Sergey Wilson,ECONOMY,TOGETHER,,
BR16085,Polina Kang,BUSINESS,TOGETHER,,
BR16086,Polina Orlova,ECONOMY,TOGETHER,,
BR16087,Ivan Kang,ECONOMY,WINDOW,,
BR16088,Mikhail Ivanov,ECONOMY,WINDOW,,
BR16089,Irina Kim,ECONOMY,AISLE,,
BR16090,Stepan Popov,ECONOMY,TOGETHER,,G10
BR16091,Mikhail Miller,ECONOMY,TOGETHER,,G10
BR16092,Polina Lee,ECONOMY,TOGETHER,,G10
BR16093,Polina Volkova,ECONOMY,AISLE,18G,
BR16094,Pavel Wilson,BUSINESS,WINDOW,,
BR16095,Anna Volkova,ECONOMY,ANY,,
BR16096,Pavel Kang,ECONOMY,AISLE,11E,
BR16097,Nikita Orlov,ECONOMY,ANY,,
BR16098,Maria Miller,ECONOMY,AISLE,,
BR16099,Denis Kim,ECONOMY,TOGETHER,,G11
BR16100,Vera Popova,ECONOMY,TOGETHER,,G11
BR16101,Sergey Kang,ECONOMY,WINDOW,,
BR16102,Mikhail Popov,ECONOMY,TOGETHER,,
BR16103,Nikita Park,ECONOMY,MIDDLE,,
BR16104,Mikhail Kim,ECONOMY,AISLE,,
BR16105,Roman Volkov,BUSINESS,AISLE,,
BR16106,Oleg Kang,BUSINESS,TOGETHER,,
BR16107,Maria Popova,ECONOMY,TOGETHER,,
BR16108,Yulia Volkova,BUSINESS,TOGETHER,,G12
BR16109,Anna Kim,ECONOMY,TOGETHER,,G12
BR16110,Daria Volkova,ECONOMY,TOGETHER,,G12
BR16111,Ivan Wilson,ECONOMY,TOGETHER,,
BR16112,Irina Miller,ECONOMY,AISLE,,
BR16113,Ivan Miller,ECONOMY,WINDOW,,
BR16114,Roman Volkov,BUSINESS,TOGETHER,,
BR16115,Mikhail Park,BUSINESS,AISLE,23G,
BR16116,Kira Ivanova,BUSINESS,MIDDLE,,
BR16117,Timur Orlov,ECONOMY,TOGETHER,,G13
BR16118,Alina Orlova,BUSINESS,TOGETHER,,G13
BR16119,Alexey Petrov,ECONOMY,MIDDLE,21H,
BR16120,Vera Volkova,BUSINESS,WINDOW,,
BR16121,Timur Orlov,ECONOMY,MIDDLE,,
BR16122,Anna Lee,ECONOMY,ANY,,
BR16123,Roman Wilson,ECONOMY,WINDOW,5G,
BR16124,Yulia Sokolova,ECONOMY,WINDOW,,
BR16125,Polina Park,BUSINESS,TOGETHER,,
BR16126,Denis Kim,ECONOMY,TOGETHER,,G14
BR16127,Anna Wilson,ECONOMY,TOGETHER,,G14
BR16128,Elena Volkova,BUSINESS,TOGETHER,,G14
BR16129,Denis Kim,ECONOMY,ANY,,
BR16130,Yulia Volkova,ECONOMY,WINDOW,,
BR16131,Kirill Ivanov,ECONOMY,WINDOW,12K,
BR16132,Mikhail Wilson,ECONOMY,TOGETHER,,
BR16133,Alina Petrova,ECONOMY,TOGETHER,,
BR16134,Elena Volkova,ECONOMY,WINDOW,42K,
BR16135,Anna Popova,ECONOMY,TOGETHER,,G15
BR16136,Ivan Sokolov,ECONOMY,TOGETHER,,G15
BR16137,Ivan Popov,ECONOMY,WINDOW,,
BR16138,Polina Kang,ECONOMY,MIDDLE,36K,
BR16139,Kira Orlova,ECONOMY,ANY,,
BR16140,Mikhail Petrov,ECONOMY,MIDDLE,,
BR16141,Kirill Miller,BUSINESS,MIDDLE,,
BR16142,Daria Kim,ECONOMY,AISLE,,
BR16143,Mikhail Orlov,ECONOMY,AISLE,,
BR16144,Oleg Sokolov,ECONOMY,TOGETHER,,G16
BR16145,Kira Volkova,ECONOMY,TOGETHER,,G16
BR16146,Pavel Lee,ECONOMY,TOGETHER,,G16
BR16147,Sofia Wilson,ECONOMY,WINDOW,15B,
BR16148,Nikita Kim,ECONOMY,TOGETHER,,
BR16149,Pavel Petrov,ECONOMY,TOGETHER,,
BR16150,Mikhail Ivanov,ECONOMY,TOGETHER,,
BR16151,Anna Popova,ECONOMY,TOGETHER,,
BR16152,Daria Lee,ECONOMY,ANY,,
BR16153,Sofia Lee,ECONOMY,TOGETHER,,G17
BR16154,Oleg Sokolov,ECONOMY,TOGETHER,,G17
BR16155,Timur Sokolov,ECONOMY,TOGETHER,,
BR16156,Nikita Park,ECONOMY,ANY,,
BR16157,Mikhail Popov,ECONOMY,WINDOW,,
BR16158,Kirill Volkov,ECONOMY,ANY,,
BR16159,Yulia Popova,ECONOMY,WINDOW,,
BR16160,Kira Sokolova,ECONOMY,AISLE,,
