booking,name,service_class,preference,requested_seat,group_id
BR12118,Timur Wilson,ECONOMY,WINDOW,,
BR12119,Elena Lee,BUSINESS,TOGETHER,,
BR12120,Mikhail Lee,ECONOMY,TOGETHER,,
BR12121,Kira Ivanova,ECONOMY,TOGETHER,,
BR12122,Elena Miller,ECONOMY,ANY,,
BR12123,Kirill Wilson,ECONOMY,MIDDLE,,
BR12124,Oleg Lee,ECONOMY,ANY,27F,
BR12125,Irina Petrova,ECONOMY,MIDDLE,,
BR12126,Pavel Kang,ECONOMY,MIDDLE,,
BR12127,Anna Miller,ECONOMY,TOGETHER,,
BR12128,Elena Orlova,ECONOMY,ANY,,
BR12129,Kira Wilson,ECONOMY,ANY,39B,
BR12130,Olga Petrova,BUSINESS,MIDDLE,,
BR12131,Roman Ivanov,ECONOMY,AISLE,,
BR12132,Oleg Park,ECONOMY,ANY,,
BR12133,Stepan Kang,ECONOMY,AISLE,,
BR12134,Timur Orlov,ECONOMY,AISLE,,
BR12135,Olga Ivanova,ECONOMY,AISLE,,
BR12136,Vera Miller,ECONOMY,WINDOW,,
BR12137,Anna Popova,ECONOMY,TOGETHER,,
BR12138,Daria Wilson,ECONOMY,TOGETHER,,
BR12139,Alina Petrova,ECONOMY,WINDOW,,
BR12140,Anna Miller,ECONOMY,ANY,,
BR12141,Daria Sokolova,ECONOMY,WINDOW,27G,
BR12142,Timur Park,BUSINESS,WINDOW,,
BR12143,Elena Park,ECONOMY,AISLE,,
BR12144,Ivan Orlov,ECONOMY,ANY,,
BR12145,Olga Park,ECONOMY,WINDOW,,
BR12146,Irina Ivanova,ECONOMY,WINDOW,,
BR12147,Sofia Volkova,BUSINESS,TOGETHER,,
BR12148,Vera Kang,ECONOMY,TOGETHER,,G4
BR12149,Mikhail Kim,ECONOMY,TOGETHER,,G4
BR12150,Nikita Orlov,ECONOMY,TOGETHER,,G4
BR12151,Oleg Petrov,ECONOMY,MIDDLE,18J,
BR12152,Alexey Sokolov,ECONOMY,TOGETHER,,
BR12153,Alexey Park,ECONOMY,ANY,,
BR12154,Alina Lee,ECONOMY,ANY,,
BR12155,Daria Wilson,ECONOMY,MIDDLE,,
BR12156,Roman Popov,ECONOMY,WINDOW,,
BR12157,Stepan Kang,ECONOMY,TOGETHER,,
BR12158,Maria Kang,ECONOMY,ANY,1F,
BR12159,Kirill Kang,ECONOMY,TOGETHER,,
BR12160,Stepan Volkov,ECONOMY,TOGETHER,,
BR12161,Maria Popova,ECONOMY,WINDOW,,
BR12162,Vera Ivanova,BUSINESS,AISLE,,
BR12163,Polina Sokolova,ECONOMY,ANY,,
BR12164,Polina Lee,ECONOMY,MIDDLE,,
BR12165,Yulia Kang,ECONOMY,TOGETHER,,
BR12166,Alexey Popov,ECONOMY,MIDDLE,,
BR12167,Alina Petrova,ECONOMY,TOGETHER,,
BR12168,Timur Miller,BUSINESS,TOGETHER,,
BR12169,Alexey Kang,ECONOMY,TOGETHER,,
BR12170,Stepan Kang,ECONOMY,TOGETHER,,
BR12171,Yulia Miller,ECONOMY,MIDDLE,,
BR12172,Alexey Park,ECONOMY,ANY,,
BR12173,Oleg Popov,ECONOMY,WINDOW,,
BR12174,Mikhail Popov,ECONOMY,ANY,,
BR12175,Denis Ivanov,ECONOMY,MIDDLE,,
BR12176,Maria Ivanova,ECONOMY,MIDDLE,30E,
BR12177,Pavel Wilson,ECONOMY,WINDOW,,
BR12178,Timur Miller,ECONOMY,WINDOW,,
BR12179,Daria Wilson,ECONOMY,AISLE,,
BR12180,Yulia Park,BUSINESS,AISLE,,
